ID,model_ID,code,name,category,valueType,standardRef,description,rubric,displayOrder,active
00000000-0000-4000-9200-000000000001,00000000-0000-4000-9100-000000000001,SAFETY,Safety consequence,Consequence,Level1to5,ISO 31000; AS 5100.1 importance,Safety consequence — manual engineering judgement (approved design dimension).,"{""1"": ""Negligible safety consequence"", ""2"": ""Minor injury possible"", ""3"": ""Serious injury credible"", ""4"": ""Single fatality credible"", ""5"": ""Multiple fatalities credible""}",1,true
00000000-0000-4000-9200-000000000002,00000000-0000-4000-9100-000000000001,NETWORK,Network service consequence,Consequence,Level1to5,ISO 55000; PIARC consequence framework,Network service consequence — manual engineering judgement (approved design dimension).,"{""1"": ""No network disruption"", ""2"": ""Local detour, minutes"", ""3"": ""Sub-network impact, hours"", ""4"": ""Key corridor severed, days"", ""5"": ""Strategic corridor lost, weeks+""}",2,true
00000000-0000-4000-9200-000000000003,00000000-0000-4000-9100-000000000001,FINANCIAL,Financial consequence,Consequence,Level1to5,ISO 55010 (monetised value),Financial consequence — manual engineering judgement (approved design dimension).,"{""1"": ""Trivial cost"", ""2"": ""Minor repair budget"", ""3"": ""Material capital cost"", ""4"": ""Major capital + indirect cost"", ""5"": ""Severe whole-of-life / liability cost""}",3,true
00000000-0000-4000-9200-000000000004,00000000-0000-4000-9100-000000000001,ENVIRONMENTAL,Environmental consequence,Consequence,Level1to5,ISO 31000; EPA NSW context,Environmental consequence — manual engineering judgement (approved design dimension).,"{""1"": ""No environmental effect"", ""2"": ""Contained, reversible"", ""3"": ""Local, remediable"", ""4"": ""Significant, prolonged"", ""5"": ""Severe / protected-area harm""}",4,true
00000000-0000-4000-9200-000000000005,00000000-0000-4000-9100-000000000001,REPUTATIONAL,Reputational consequence,Consequence,Level1to5,ISO 31000,Reputational consequence — manual engineering judgement (approved design dimension).,"{""1"": ""No public interest"", ""2"": ""Local complaint"", ""3"": ""Regional media"", ""4"": ""State media / ministerial"", ""5"": ""National / inquiry-level""}",5,true
00000000-0000-4000-9200-000000000006,00000000-0000-4000-9100-000000000001,LIKELIHOOD,Likelihood of failure,Likelihood,Level1to5,ISO 31000; ISO 13822 (existing structures),Likelihood of failure — derived default from condition + structural adequacy (srv/lib/prioritisation.js deriveLikelihood); manual override requires a logged reason.,"{""1"": ""Rare \u2014 sound condition, ample adequacy"", ""2"": ""Unlikely \u2014 minor deterioration"", ""3"": ""Possible \u2014 moderate deterioration or unknown"", ""4"": ""Likely \u2014 significant deterioration"", ""5"": ""Almost certain \u2014 severe condition/adequacy""}",6,true
00000000-0000-4000-9210-000000000001,00000000-0000-4000-9100-000000000002,BHI,Condition (BHI proxy),Likelihood,Numeric,NSW BHI; NBI 0-9; AASHTO CS,Condition (BHI proxy) — standards-based pack criterion.,,101,true
00000000-0000-4000-9210-000000000002,00000000-0000-4000-9100-000000000002,WORST_ELEMENT,Worst-element condition,Likelihood,Numeric,AASHTO element CS1-4,Worst-element condition — standards-based pack criterion.,,102,true
00000000-0000-4000-9210-000000000003,00000000-0000-4000-9100-000000000002,COND_TREND,Deterioration trend,Likelihood,Numeric,ISO 13822; CS 470,Deterioration trend — standards-based pack criterion.,,103,true
00000000-0000-4000-9210-000000000004,00000000-0000-4000-9100-000000000002,RUL,Remaining useful life,Likelihood,Numeric,ISO 55000; AS 5100,Remaining useful life — standards-based pack criterion.,,104,true
00000000-0000-4000-9210-000000000005,00000000-0000-4000-9100-000000000002,DEFECTS,Open defect severity,Likelihood,Numeric,AASHTO MBE,Open defect severity — standards-based pack criterion.,,105,true
00000000-0000-4000-9210-000000000006,00000000-0000-4000-9100-000000000002,LOAD_RATING,Load rating / capacity,Likelihood,Numeric,AASHTO LRFR; AS 5100.7,Load rating / capacity — standards-based pack criterion.,,106,true
00000000-0000-4000-9210-000000000007,00000000-0000-4000-9100-000000000002,POSTING,Current posting / restriction,Likelihood,Numeric,PIARC; NSW,Current posting / restriction — standards-based pack criterion.,,107,true
00000000-0000-4000-9210-000000000008,00000000-0000-4000-9100-000000000002,MATERIAL_VULN,Material vulnerability,Likelihood,Discrete,Eurocode; AS 5100,Material vulnerability — standards-based pack criterion.,,108,true
00000000-0000-4000-9210-000000000009,00000000-0000-4000-9100-000000000002,FATIGUE,Fatigue remaining life,Likelihood,Numeric,AASHTO MBE; EC3,Fatigue remaining life — standards-based pack criterion.,,109,true
00000000-0000-4000-9210-000000000010,00000000-0000-4000-9100-000000000002,FRACTURE_CRITICAL,Fracture-critical member,Consequence,Discrete,AASHTO FCM,Fracture-critical member — standards-based pack criterion.,,110,true
00000000-0000-4000-9210-000000000011,00000000-0000-4000-9100-000000000002,SCOUR,Scour / hydraulic,Likelihood,Discrete,FHWA NBI Item 113,Scour / hydraulic — standards-based pack criterion.,,111,true
00000000-0000-4000-9210-000000000012,00000000-0000-4000-9100-000000000002,SEISMIC,Seismic vulnerability,Likelihood,Numeric,AS 5100.2; EC8,Seismic vulnerability — standards-based pack criterion.,,112,true
00000000-0000-4000-9210-000000000013,00000000-0000-4000-9100-000000000002,EXPOSURE,Environmental exposure,Likelihood,Discrete,AS 5100; Eurocode,Environmental exposure — standards-based pack criterion.,,113,true
00000000-0000-4000-9210-000000000014,00000000-0000-4000-9100-000000000002,FUNC_OBS,Functional obsolescence,Consequence,Numeric,NBI structural/deck eval,Functional obsolescence — standards-based pack criterion.,,114,true
00000000-0000-4000-9210-000000000015,00000000-0000-4000-9100-000000000002,NETWORK_ROLE,Network / strategic role,Consequence,Discrete,ISO 55000; PIARC,Network / strategic role — standards-based pack criterion.,,115,true
00000000-0000-4000-9210-000000000016,00000000-0000-4000-9100-000000000002,TRAFFIC,Traffic exposure (AADT),Consequence,Numeric,Austroads,Traffic exposure (AADT) — standards-based pack criterion.,,116,true
00000000-0000-4000-9210-000000000017,00000000-0000-4000-9100-000000000002,HEAVY_PCT,Heavy vehicle share,Consequence,Numeric,Austroads; HVNL,Heavy vehicle share — standards-based pack criterion.,,117,true
00000000-0000-4000-9210-000000000018,00000000-0000-4000-9100-000000000002,DETOUR,Detour length (redundancy),Consequence,Numeric,PIARC,Detour length (redundancy) — standards-based pack criterion.,,118,true
00000000-0000-4000-9210-000000000019,00000000-0000-4000-9100-000000000002,REDUNDANCY,Structural redundancy,Consequence,Discrete,AASHTO; EC,Structural redundancy — standards-based pack criterion.,,119,true
00000000-0000-4000-9210-000000000020,00000000-0000-4000-9100-000000000002,PT_DEPEND,Public-transport dependency,Consequence,Numeric,TfNSW multimodal,Public-transport dependency — standards-based pack criterion.,,120,true
00000000-0000-4000-9210-000000000021,00000000-0000-4000-9100-000000000002,ACTIVE_USERS,Active-transport / vulnerable users,Consequence,Numeric,TfNSW,Active-transport / vulnerable users — standards-based pack criterion.,,121,true
00000000-0000-4000-9210-000000000022,00000000-0000-4000-9100-000000000002,FREIGHT_VALUE,Freight economic value,Consequence,Discrete,ISO 55010,Freight economic value — standards-based pack criterion.,,122,true
00000000-0000-4000-9210-000000000023,00000000-0000-4000-9100-000000000002,ISOLATION,Community isolation,Consequence,Numeric,PIARC,Community isolation — standards-based pack criterion.,,123,true
00000000-0000-4000-9210-000000000024,00000000-0000-4000-9100-000000000002,CRIT_SERVICES,Critical-services proximity,Consequence,Discrete,ISO 55000,Critical-services proximity — standards-based pack criterion.,,124,true
00000000-0000-4000-9210-000000000025,00000000-0000-4000-9100-000000000002,UTILITIES,Third-party utilities,Consequence,Numeric,Utility agreements,Third-party utilities — standards-based pack criterion.,,125,true
00000000-0000-4000-9210-000000000026,00000000-0000-4000-9100-000000000002,MODAL_INTERDEP,Modal interdependency,Consequence,Discrete,TfNSW multimodal,Modal interdependency — standards-based pack criterion.,,126,true
00000000-0000-4000-9210-000000000027,00000000-0000-4000-9100-000000000002,IMPACT_EXPOSURE,Vehicle / vessel impact,Likelihood,Numeric,AS 5100,Vehicle / vessel impact — standards-based pack criterion.,,127,true
00000000-0000-4000-9210-000000000028,00000000-0000-4000-9100-000000000002,HERITAGE,Heritage significance,Modifier,Discrete,NSW Heritage,Heritage significance — standards-based pack criterion.,,128,true
00000000-0000-4000-9210-000000000029,00000000-0000-4000-9100-000000000002,ENV_SENSITIVITY,Environmental sensitivity,Modifier,Discrete,EPA; WHS,Environmental sensitivity — standards-based pack criterion.,,129,true
00000000-0000-4000-9210-000000000030,00000000-0000-4000-9100-000000000002,LIFE_SAFETY,Life-safety consequence,Consequence,Numeric,AS 5100 importance,Life-safety consequence — standards-based pack criterion.,,130,true
00000000-0000-4000-9210-000000000031,00000000-0000-4000-9100-000000000002,IMPORTANCE,Design importance level,Consequence,Numeric,AS 5100.1,Design importance level — standards-based pack criterion.,,131,true
00000000-0000-4000-9210-000000000032,00000000-0000-4000-9100-000000000002,REPLACEMENT_COST,Replacement cost exposure,Modifier,Numeric,ISO 55010,Replacement cost exposure — standards-based pack criterion.,,132,true
00000000-0000-4000-9210-000000000033,00000000-0000-4000-9100-000000000002,INTERVENTION_COST,Intervention cost / deliverability,Modifier,Numeric,ISO 55000,Intervention cost / deliverability — standards-based pack criterion.,,133,true
00000000-0000-4000-9210-000000000034,00000000-0000-4000-9100-000000000002,BCR,Benefit-cost ratio,Modifier,Numeric,ISO 55010,Benefit-cost ratio — standards-based pack criterion.,,134,true
00000000-0000-4000-9210-000000000035,00000000-0000-4000-9100-000000000002,CLIMATE,Climate-change exposure,Likelihood,Discrete,ISO 14090,Climate-change exposure — standards-based pack criterion.,,135,true
00000000-0000-4000-9210-000000000036,00000000-0000-4000-9100-000000000002,INCIDENTS,Safety incidents (5y),Likelihood,Numeric,Incident register,Safety incidents (5y) — standards-based pack criterion.,,136,true
00000000-0000-4000-9210-000000000037,00000000-0000-4000-9100-000000000002,STATUTORY,Statutory / contractual obligation,Modifier,Discrete,HVNL gazettal; BNAC,Statutory / contractual obligation — standards-based pack criterion.,,137,true
00000000-0000-4000-9210-000000000038,00000000-0000-4000-9100-000000000002,M_SAFETY,Safety consequence (judgement),Consequence,Level1to5,ISO 31000,Safety consequence (judgement) — manual engineering judgement.,"{""1"": ""Negligible safety consequence"", ""2"": ""Minor injury possible"", ""3"": ""Serious injury credible"", ""4"": ""Single fatality credible"", ""5"": ""Multiple fatalities credible""}",1,true
00000000-0000-4000-9210-000000000039,00000000-0000-4000-9100-000000000002,M_NETWORK,Network consequence (judgement),Consequence,Level1to5,ISO 55000,Network consequence (judgement) — manual engineering judgement.,"{""1"": ""No network disruption"", ""2"": ""Local detour, minutes"", ""3"": ""Sub-network impact, hours"", ""4"": ""Key corridor severed, days"", ""5"": ""Strategic corridor lost, weeks+""}",2,true
00000000-0000-4000-9210-000000000040,00000000-0000-4000-9100-000000000002,M_FINANCIAL,Financial consequence (judgement),Consequence,Level1to5,ISO 55010,Financial consequence (judgement) — manual engineering judgement.,"{""1"": ""Trivial cost"", ""2"": ""Minor repair budget"", ""3"": ""Material capital cost"", ""4"": ""Major capital + indirect cost"", ""5"": ""Severe whole-of-life / liability cost""}",3,true
00000000-0000-4000-9210-000000000041,00000000-0000-4000-9100-000000000002,M_ENVIRONMENTAL,Environmental consequence (judgement),Consequence,Level1to5,ISO 31000,Environmental consequence (judgement) — manual engineering judgement.,"{""1"": ""No environmental effect"", ""2"": ""Contained, reversible"", ""3"": ""Local, remediable"", ""4"": ""Significant, prolonged"", ""5"": ""Severe / protected-area harm""}",4,true
00000000-0000-4000-9210-000000000042,00000000-0000-4000-9100-000000000002,M_REPUTATIONAL,Reputational consequence (judgement),Consequence,Level1to5,ISO 31000,Reputational consequence (judgement) — manual engineering judgement.,"{""1"": ""No public interest"", ""2"": ""Local complaint"", ""3"": ""Regional media"", ""4"": ""State media / ministerial"", ""5"": ""National / inquiry-level""}",5,true
00000000-0000-4000-9210-000000000043,00000000-0000-4000-9100-000000000002,M_LIKELIHOOD,"Likelihood (judgement, derived default)",Likelihood,Level1to5,ISO 31000; ISO 13822,"Likelihood (judgement, derived default) — manual engineering judgement.","{""1"": ""Rare"", ""2"": ""Unlikely"", ""3"": ""Possible"", ""4"": ""Likely"", ""5"": ""Almost certain""}",6,true
00000000-0000-4000-9210-000000000090,00000000-0000-4000-9100-000000000002,NWS,Network safety function,Consequence,Discrete,TfNSW PS224353; safety-by-design,Emergency management / evacuation function; grade or modal separation contribution.,,140,true
